target,cell_line,cell_line_idx,run_idx,seed,total_generated,valid_num,unique_num,novel_num,source_ligand_count,valid_rate,unique_rate,novel_rate,diversity,intdivp,max_tanimoto,tanimoto_pair_count,qed,sa,logp,lipinski,mw
SMAD3,MCF7,9,6,48,100,99,97,9,12413,99.0,97.97979797979798,9.278350515463918,0.8589853217685967,0.6610583337300131,0.9142857142857143,1228887,0.4936759196468408,3.995412429434313,3.7965400000000025,0.3333333333333333,545.8810000000002
SMAD3,MCF7,9,7,49,100,100,96,9,12413,100.0,96.0,9.375,0.857906614591011,0.6756940125728482,0.8295454545454546,1241300,0.3864467897890546,3.865244982621971,5.295528888888894,0.1111111111111111,586.611777777778
SMAD3,MCF7,9,8,50,100,96,93,11,12413,96.0,96.875,11.827956989247312,0.8658635385343629,0.6821512852296178,0.9047619047619048,1191648,0.46013216952220704,3.7340861561887926,3.956369090909094,0.5454545454545454,520.9398181818184
SMAD3,MCF7,9,9,51,100,99,98,16,12413,99.0,98.98989898989899,16.3265306122449,0.8634820760454986,0.6968767781536958,0.8493150684931506,1228887,0.5686107022902415,4.008648956215077,3.4943650000000024,0.5625,486.4318750000002
TP53,MCF7,9,0,42,100,95,93,3,6734,95.0,97.89473684210526,3.225806451612903,0.899310272417455,0.7716169317768462,0.7777777777777778,639730,0.8074695987906477,1.9075359010419994,3.3607266666666686,1,288.0356666666667
TP53,MCF7,9,1,43,100,99,97,5,6734,99.0,97.97979797979798,5.154639175257732,0.8924902905492962,0.7397626425402983,1.0,666666,0.3763024676589065,3.214194905677501,5.906400000000002,0.2,522.9822000000003
TP53,MCF7,9,2,44,100,90,87,7,6734,90.0,96.66666666666667,8.045977011494253,0.889722400047058,0.6990470731758835,1.0,606060,0.6168225807132295,2.928811369503898,2.5455171428571437,0.8571428571428571,386.07857142857165
TP53,MCF7,9,3,45,100,94,88,5,6734,94.0,93.61702127659575,5.681818181818182,0.8970198980619833,0.7650629178570525,1.0,632996,0.6384655553128274,3.0517381689744063,2.4957080000000014,0.8,399.8810000000001
TP53,MCF7,9,4,46,100,98,95,3,6734,98.0,96.93877551020408,3.1578947368421053,0.8970494062379547,0.7270243471492814,1.0,659932,0.28720159770991194,4.664006196832145,1.795056666666669,0.3333333333333333,662.0876666666667
TP53,MCF7,9,5,47,100,98,94,2,6734,98.0,95.91836734693878,2.127659574468085,0.8872272946593691,0.7113841541377721,1.0,659932,0.39908989237235487,3.885508240402254,4.702050000000004,0,569.1925000000001
TP53,MCF7,9,6,48,100,100,100,2,6734,100.0,100.0,2.0,0.8984572750425398,0.7520067668638183,1.0,673400,0.6327710040364509,4.225571629692958,2.2085500000000002,1,378.4370000000001
TP53,MCF7,9,7,49,100,98,96,1,6734,98.0,97.95918367346938,1.0416666666666667,0.8958013694843936,0.7375552512759912,1.0,659932,0.3455351655983457,4.032887279318307,5.9960000000000075,0,563.7640000000001
TP53,MCF7,9,8,50,100,96,92,2,6734,96.0,95.83333333333333,2.1739130434782608,0.8925483596897228,0.7349021678151457,0.8055555555555556,646464,0.7347437619422788,1.754456973181842,4.738350000000003,0.5,325.5690000000001
TP53,MCF7,9,9,51,100,96,92,2,6734,96.0,95.83333333333333,2.1739130434782608,0.8973876529876126,0.7372734848065696,1.0,646464,0.791429692752352,2.5162515970719044,3.5807000000000024,1,325.413
